system,firmware,fpga-version,value,1v0,tableName,SYSTEM_FIRMWARE,method,GET,1,access,user,socketFilter,0,filter,NONE,,,,,,,,,,,,,,,,,,,,,,,,
,,processor-version,value,1v1,tableName,SYSTEM_FIRMWARE,method,GET,2,access,user,socketFilter,0,filter,NONE,,,,,,,,,,,,,,,,,,,,,,,,
,,processor-field-upgrade,value,Dsp-image-name,tableName,SYSTEM_FIRMWARE,method,POST,3,access,user,socketFilter,0,filter,NONE,,,,,,,,,,,,,,,,,,,,,,,,
,,fpga-field-upgrade,value,Fpga-image-name,tableName,SYSTEM_FIRMWARE,method,POST,4,access,user,socketFilter,0,filter,NONE,,,,,,,,,,,,,,,,,,,,,,,,
,,fpga-upgrade-status,value,0,tableName,SYSTEM_FIRMWARE,method,GET,5,access,user,socketFilter,0,filter,NONE,,,,,,,,,,,,,,,,,,,,,,,,
,,processor-upgrade-status,value,0,tableName,SYSTEM_FIRMWARE,method,GET,6,access,user,socketFilter,0,filter,NONE,,,,,,,,,,,,,,,,,,,,,,,,
,,switch,value,1,tableName,SYSTEM_FIRMWARE,method,POST,7,access,user,socketFilter,0,filter,NONE,,,,,,,,,,,,,,,,,,,,,,,,
,,serial-no,value,AAA1BBB2CCC3DDD4,tableName,SYSTEM_FIRMWARE,method,GET,8,POST,9,access,admin,socketFilter,0,filter,TYPE,NONE,TYPE,Digits16,AlphaNum,END,,,,,,,,,,,,,,,,,
,network,ip-settings,value,192.168.0.1,tableName,SYSTEM_NETWORK_IP-SETTINGS,method,GET,10,POST,11,access,user,socketFilter,0,array,ip-addr,subnet-mask,gateway,END,getArray,10,12,14,END,postArray,11,13,15,END,,,,,,,,,
,,,ip-addr,value,192.168.0.1,tableName,SYSTEM_NETWORK_IP-SETTINGS,method,GET,12,POST,13,access,user,socketFilter,0,filter,TYPE,NONE,TYPE,IPAddress,END,,,,,,,,,,,,,,,,,
,,,subnet-mask,value,255.255.255.0,tableName,SYSTEM_NETWORK_IP-SETTINGS,method,GET,14,POST,15,access,user,socketFilter,0,filter,TYPE,NONE,TYPE,IPAddress,END,,,,,,,,,,,,,,,,,
,,,gateway,value,0.0.0.0,tableName,SYSTEM_NETWORK_IP-SETTINGS,method,GET,16,POST,17,access,user,socketFilter,0,filter,TYPE,NONE,TYPE,IPAddress,END,,,,,,,,,,,,,,,,,
,,tos,value,7,tableName,SYSTEM_NETWORK,method,GET,18,POST,19,access,user,socketFilter,0,filter,MIN,MAX,NONE,MIN,0,MAX,7,,,,,,,,,,,,,,,,
,,mtu-size,value,1500,tableName,SYSTEM_NETWORK,method,GET,20,POST,21,access,user,socketFilter,0,filter,MIN,MAX,NONE,MIN,64,MAX,1500,,,,,,,,,,,,,,,,
,,mode,value,1,tableName,SYSTEM_NETWORK,method,GET,22,POST,23,access,user,socketFilter,0,filter,LIST,NONE,LIST,1,2,3,END,,,,,,,,,,,,,,,,
,,notify-ip-addr,value,192.168.0.77,tableName,SYSTEM_NETWORK,method,GET,24,POST,25,access,user,socketFilter,0,filter,TYPE,NONE,TYPE,IPAddress,END,,,,,,,,,,,,,,,,,,
,,port,value,9999,tableName,SYSTEM_NETWORK,method,GET,26,POST,27,access,user,socketFilter,0,filter,NONE,,,,,,,,,,,,,,,,,,,,,,
,diagnostics,hw-status,value,1,tableName,SYSTEM_DIAGNOSTICS,method,GET,28,access,user,socketFilter,0,filter,NONE,,,,,,,,,,,,,,,,,,,,,,,,
,,temperature,value,25,tableName,SYSTEM_DIAGNOSTICS,method,GET,29,access,user,socketFilter,0,filter,NONE,,,,,,,,,,,,,,,,,,,,,,,,
,,device-log,value,SUCCESS,tableName,SYSTEM_DIAGNOSTICS,method,GET,30,access,user,socketFilter,0,filter,NONE,,,,,,,,,,,,,,,,,,,,,,,,
,,device-log-level,value,7,tableName,SYSTEM_DIAGNOSTICS,method,GET,31,POST,32,access,admin,socketFilter,0,filter,MIN,MAX,NONE,MIN,0,MAX,7,,,,,,,,,,,,,,,,
